image,raw_width,raw_height,target_width,target_height,input_patches,output_tokens,concurrency,requests,request_per_second,image_per_second,rt_mean_ms,rt_p50_ms,rt_p95_ms,rt_p99_ms,gpu_util_avg,gpu_util_p95,gpu_util_max,peak_allocated_mib,peak_allocated_delta_mib,peak_nvml_used_mib,peak_nvml_delta_mib,average_batch_images,maximum_batch_images,external_busy_samples
small_448,448,448,448,448,1024,258,1,458,45.71014753121603,45.71014753121603,21.868861972773246,21.502390503883362,22.40897328592837,23.68816888891161,32.3013698630137,37.0,37.0,1712.57177734375,42.3583984375,4260.5625,643.4375,1.0,1,0
small_448,448,448,448,448,1024,258,2,804,80.32449193398514,80.32449193398514,24.86561154552842,24.413510225713253,25.164519599638876,32.088803430087864,40.58695652173913,44.0,44.0,1760.77392578125,90.560546875,3742.5,148.0,2.0,2,0
small_448,448,448,448,448,1024,258,4,1208,120.48779738480827,120.48779738480827,33.114138065100285,32.303179148584604,38.629562524147325,41.62248469889165,50.891891891891895,56.0,57.0,1851.70849609375,181.4951171875,3962.9375,368.4375,4.0,4,0
small_448,448,448,448,448,1024,258,8,1632,163.11986558420085,163.11986558420085,48.884766241969245,47.39213711582124,49.68287702649831,53.72629596851766,64.5754716981132,69.0,70.0,2032.76513671875,362.5517578125,4306.5,712.0,8.0,8,0
small_448,448,448,448,448,1024,258,16,1920,190.63414728808283,190.63414728808283,83.59871870561619,82.02774822711945,83.41356092132628,84.19556354172528,76.31818181818181,82.0,91.0,2385.31591796875,715.1025390625,5026.5,1432.0,16.0,16,0
small_448,448,448,448,448,1024,258,32,2144,213.6546901583445,213.6546901583445,149.03476313555808,145.92660265043378,148.27784567605704,339.91060461848974,80.23188405797102,96.0,96.0,3100.76171875,1430.54833984375,6457.0625,2862.5625,32.0,32,0
small_448,448,448,448,448,1024,258,64,2304,227.8325277381684,227.8325277381684,278.91234401613474,271.2491527199745,287.9602509085089,521.8870098656043,81.5,97.0,97.0,4529.71533203125,2859.501953125,9398.5,5804.0,64.0,64,0
1080p,1920,1080,896,504,2304,578,1,398,39.736097571809296,39.736097571809296,25.15839000031277,24.606057908385992,25.455261650495228,26.899844049476084,42.756410256410255,47.0,48.0,1767.0185546875,96.80517578125,3804.5,208.0,1.0,1,0
1080p,1920,1080,896,504,2304,578,2,604,60.38109605460222,60.38109605460222,33.087608924857186,32.57262147963047,33.29321686178446,34.39075955655426,55.30252100840336,58.0,59.0,1874.72998046875,204.5166015625,4016.5,420.0,2.0,2,0
1080p,1920,1080,896,504,2304,578,4,776,77.38538428861476,77.38538428861476,51.6092354664579,51.158063812181354,52.01164400205016,53.29457053449005,68.38392857142857,73.0,88.0,2073.31591796875,403.1025390625,4416.5,818.0,4.0,4,0
1080p,1920,1080,896,504,2304,578,8,912,90.8709884368444,90.8709884368444,87.85408317201296,87.45263586752117,88.03713656961918,88.52235559374094,76.26388888888889,82.0,90.0,2480.78076171875,810.5673828125,5242.5,1644.0,8.0,8,0
1080p,1920,1080,896,504,2304,578,16,976,97.48980501113103,97.48980501113103,163.68774247411105,158.40757894329727,159.49508314952254,472.20898244995624,81.36607142857143,98.0,98.0,3280.36279296875,1610.1494140625,6818.5,3220.0,16.0,16,0
1080p,1920,1080,896,504,2304,578,32,1024,99.869008155434,99.869008155434,319.5636901937178,300.8920119609684,302.7754011563957,896.8171668145806,80.95505617977528,99.0,99.0,4890.96484375,3220.75146484375,10192.5,6594.0,32.0,32,0
1080p,1920,1080,896,504,2304,578,64,987,93.73274676254327,93.73274676254327,680.5693871151041,658.9618711732328,1030.859395954758,1033.4429510310292,75.6015625,99.0,99.0,8100.46533203125,6430.251953125,16730.5,13132.0,61.6875,64,0
2k_1440p,2560,1440,896,504,2304,578,1,311,31.035855367326597,31.035855367326597,32.20170949379108,26.767322793602943,62.817148165777326,94.76125868968649,34.82051282051282,45.0,45.0,1767.5966796875,97.38330078125,3742.5,144.0,1.0,1,0
2k_1440p,2560,1440,896,504,2304,578,2,436,43.4117282485154,43.4117282485154,46.00871963973302,43.85202703997493,55.539679480716586,69.85289745498446,38.2027027027027,51.349999999999994,57.0,1872.29248046875,202.0791015625,4008.5,410.0,2.0,2,0
2k_1440p,2560,1440,896,504,2304,578,4,744,74.21895391999138,74.21895391999138,53.81291212203602,52.726231049746275,53.874397627078,59.90440350957223,67.54945054945055,74.0,86.0,2073.19091796875,402.9775390625,4432.5,834.0,4.0,4,0
2k_1440p,2560,1440,896,504,2304,578,8,864,85.99689909035278,85.99689909035278,92.85328065043022,89.61333497427404,90.47321141697466,92.20188715495169,76.31372549019608,81.0,81.0,2480.12451171875,809.9111328125,5204.5,1606.0,8.0,8,0
2k_1440p,2560,1440,896,504,2304,578,16,944,93.84655773441546,93.84655773441546,170.1102782399946,163.57724298723042,165.18775457516313,543.6991723487154,77.98648648648648,98.0,98.0,3279.77685546875,1609.5634765625,6832.5,3234.0,16.0,16,0
2k_1440p,2560,1440,896,504,2304,578,32,1024,99.80176786235856,99.80176786235856,319.7116067181014,313.7228705454618,330.1470835227519,463.0436441022903,78.36619718309859,99.0,99.0,4890.96484375,3220.75146484375,10188.5,6586.0,32.0,32,0
2k_1440p,2560,1440,896,504,2304,578,64,1024,98.72264100322215,98.72264100322215,646.4099553386404,601.7293818295002,1316.362638445571,1318.2082538492978,71.74603174603175,99.0,99.0,8100.46533203125,6430.251953125,16754.5,13152.0,64.0,64,0
