image,raw_width,raw_height,target_width,target_height,input_patches,output_tokens,concurrency,requests,request_per_second,image_per_second,rt_mean_ms,rt_p50_ms,rt_p95_ms,rt_p99_ms,gpu_util_avg,gpu_util_p95,gpu_util_max,peak_allocated_mib,peak_allocated_delta_mib,peak_nvml_used_mib,peak_nvml_delta_mib,average_batch_images,maximum_batch_images,external_busy_samples
small_448,448,448,448,448,1024,258,1,501,50.08923200197681,50.08923200197681,19.95769632838949,19.41864099353552,20.340584684163332,22.528392262756824,33.67479674796748,36.0,37.0,1714.2119140625,43.99853515625,268616.625,32.0,1.0,1,123
small_448,448,448,448,448,1024,258,2,884,88.3124091980408,88.3124091980408,22.61668126145167,21.63781807757914,22.298225411213934,24.041783050633963,42.257425742574256,50.0,54.0,1762.1630859375,91.94970703125,268706.625,124.0,2.0,2,101
small_448,448,448,448,448,1024,258,4,1296,129.5057617418623,129.5057617418623,30.808062288683068,29.31362297385931,32.16979908756912,33.775184280239046,53.285714285714285,63.0,63.0,1852.0966796875,181.88330078125,3942.5625,326.0,4.0,4,119
small_448,448,448,448,448,1024,258,8,1752,174.99519122332362,174.99519122332362,45.5810624713261,45.12103903107345,46.672485396265984,47.90318965446204,66.7925925925926,73.0,74.0,2032.8388671875,362.62548828125,4308.5625,692.0,8.0,8,135
small_448,448,448,448,448,1024,258,16,2000,199.68147330371102,199.68147330371102,79.80054264282808,79.31198994629085,80.8332793880254,83.6164596490562,76.25,84.0,84.0,2385.2138671875,715.00048828125,5028.5,1412.0,16.0,16,0
small_448,448,448,448,448,1024,258,32,2208,220.1248433355107,220.1248433355107,144.59923383791633,143.59484100714326,145.02312222030014,208.81270103156567,82.67961165048544,97.0,98.0,3100.4326171875,1430.21923828125,6496.5,2880.0,32.0,32,0
small_448,448,448,448,448,1024,258,64,2304,227.74961880592326,227.74961880592326,279.4531570796405,264.0790091827512,266.0114895552397,817.0349308289587,85.11458333333333,98.0,98.0,4529.8701171875,2859.65673828125,9400.5,5784.0,64.0,64,0
1080p,1920,1080,896,504,2304,578,1,440,43.95482247191676,43.95482247191676,22.744089482479136,22.34200807288289,22.52709800377488,23.269760096445683,45.976190476190474,52.849999999999994,53.0,1766.26806640625,96.0546875,3780.5,164.0,1.0,1,0
1080p,1920,1080,896,504,2304,578,2,654,65.24166802981904,65.24166802981904,30.625647875916112,30.364043544977903,30.435452912934124,30.57208119891584,56.669724770642205,63.0,64.0,1873.767578125,203.55419921875,4010.5,392.0,2.0,2,0
1080p,1920,1080,896,504,2304,578,4,796,79.45410974811679,79.45410974811679,50.27306849258629,48.865356016904116,49.10275328438729,49.78681800421326,70.47311827956989,73.0,74.0,2073.9775390625,403.76416015625,4432.5,814.0,4.0,4,0
1080p,1920,1080,896,504,2304,578,8,936,93.03946234954088,93.03946234954088,85.85912219356172,84.72766471095383,85.22589586209506,85.90396579820663,76.24742268041237,85.0,85.0,2479.0654296875,808.85205078125,5226.5,1608.0,8.0,8,0
1080p,1920,1080,896,504,2304,578,16,1024,101.3343837604987,101.3343837604987,157.54948508492816,155.74063709937036,160.04918299149722,257.0466616144404,83.98019801980197,99.0,99.0,3280.6435546875,1610.43017578125,6840.5,3220.0,16.0,16,0
1080p,1920,1080,896,504,2304,578,32,1056,103.84249185709605,103.84249185709605,307.27624864040547,301.48448469117284,303.75217308755964,488.6703515192494,84.808,99.0,99.0,4891.2373046875,3221.02392578125,10202.5,6582.0,32.0,32,0
1080p,1920,1080,896,504,2304,578,64,1088,106.36150088341819,106.36150088341819,599.788479936679,579.1207409929484,942.8583423374221,944.6574795572087,83.25742574257426,100.0,100.0,8100.7216796875,6430.50830078125,16740.5,13120.0,64.0,64,0
2k_1440p,2560,1440,896,504,2304,578,1,438,43.73598147116933,43.73598147116933,22.858228642901736,22.694528568536043,22.756105824373662,23.22714983485639,46.291666666666664,52.0,87.0,1766.39306640625,96.1796875,3752.5,132.0,1.0,1,0
2k_1440p,2560,1440,896,504,2304,578,2,632,63.06683149031308,63.06683149031308,31.679407809861004,30.91860329732299,31.327991257421672,32.185523924417794,55.354838709677416,63.0,64.0,1872.619140625,202.40576171875,4008.5,388.0,2.0,2,0
2k_1440p,2560,1440,896,504,2304,578,4,792,79.03744858992289,79.03744858992289,50.53857616278239,50.31702225096524,50.48559890128672,50.92559180688114,67.70707070707071,72.0,73.0,2073.9775390625,403.76416015625,4438.5,818.0,4.0,4,0
2k_1440p,2560,1440,896,504,2304,578,8,904,90.065890956092,90.065890956092,88.69114006659329,87.25405065342784,88.07007025461644,89.56012021750212,76.39047619047619,84.0,84.0,2478.4091796875,808.19580078125,5212.5,1592.0,8.0,8,0
2k_1440p,2560,1440,896,504,2304,578,16,960,95.09685271109893,95.09685271109893,167.8238021559082,160.8771241735667,161.69897655490786,576.4799001021311,82.62264150943396,99.0,99.0,3280.0576171875,1609.84423828125,6840.5,3220.0,16.0,16,0
2k_1440p,2560,1440,896,504,2304,578,32,1024,100.89337691089032,100.89337691089032,316.3179465586836,312.55253963172436,316.2064461968839,438.5729815950617,81.41304347826087,99.0,99.0,4891.2373046875,3221.02392578125,10194.5,6574.0,32.0,32,0
2k_1440p,2560,1440,896,504,2304,578,64,1088,103.26574682281012,103.26574682281012,618.0635405141991,599.5134715922177,895.9428458940238,897.6615822687745,88.24038461538461,100.0,100.0,8100.7216796875,6430.50830078125,16716.5,13096.0,64.0,64,0
