trans_a, trans_b, m, n, k, A_data_type, lda, stride_a, B_data_type, ldb, stride_b, C_data_type, ldc, stride_c, compute_type, batch_count, algo_index
N,N,2048,1,2048,f16_r,2048,0,f16_r,2048,0,f16_r,2048,0,f32_r,1,96066
N,N,2048,1,5504,f16_r,2048,0,f16_r,5504,0,f16_r,2048,0,f32_r,1,97014
N,N,2048,11,2048,f16_r,2048,0,f16_r,2048,0,f16_r,2048,0,f32_r,1,96066
N,N,2048,11,5504,f16_r,2048,0,f16_r,5504,0,f16_r,2048,0,f32_r,1,96078
N,N,2048,14,2048,f16_r,2048,0,f16_r,2048,0,f16_r,2048,0,f32_r,1,96066
N,N,2048,14,5504,f16_r,2048,0,f16_r,5504,0,f16_r,2048,0,f32_r,1,97014
N,N,5504,1,2048,f16_r,5504,0,f16_r,2048,0,f16_r,5504,0,f32_r,1,97531
N,N,5504,11,2048,f16_r,5504,0,f16_r,2048,0,f16_r,5504,0,f32_r,1,97531
N,N,5504,14,2048,f16_r,5504,0,f16_r,2048,0,f16_r,5504,0,f32_r,1,97531
N,N,6144,1,2048,f16_r,6144,0,f16_r,2048,0,f16_r,6144,0,f32_r,1,96066
N,N,6144,11,2048,f16_r,6144,0,f16_r,2048,0,f16_r,6144,0,f32_r,1,96066
N,N,6144,14,2048,f16_r,6144,0,f16_r,2048,0,f16_r,6144,0,f32_r,1,96066
T,N,151936,1,2048,f16_r,2048,0,f16_r,2048,0,f32_r,151936,0,f32_r,1,83227
